"","PA","Age","yr2_PA","yr2_Age","change_wRC_CON","change_zscore","change_zscore_everyday","PA_ave","age_cohort"
"202",446,23,535,24,0.028,0.127749346628707,0.563836858134949,490.5,"23-24"
"203",454,23,322,24,0.014,-0.0430102782528201,-0.238969602196732,388,"23-24"
"204",539,23,657,24,0.036,0.505054315139584,2.05875877797293,598,"23-24"
"205",402,23,428,24,0.021,0.249221071173354,0.850622092879876,415,"23-24"
"206",540,23,716,24,0.02,0.126222461705626,0.529083589828261,628,"23-24"
"207",686,23,570,24,0.063,0.710601445799977,2.97751460837442,628,"23-24"
"208",292,23,290,24,0.005,0.125446661674494,0.874236409647136,291,"23-24"
"209",670,23,438,24,-0.031,-0.266281686945733,-1.36142483387195,554,"23-24"
"210",416,23,632,24,-0.016,-0.365524948482275,-1.52567864619499,524,"23-24"
"211",457,23,519,24,0.013,0.347861055956816,1.42622460441684,488,"23-24"
"212",605,23,566,24,-0.022,-0.247649135761969,-0.802080845044876,585.5,"23-24"
"213",495,23,401,24,-0.027,-0.317048275240787,-1.10990763639514,448,"23-24"
"214",509,23,565,24,0.00600000000000001,0.0482673205638978,0.151677143191672,537,"23-24"
"215",278,23,235,24,-0.021,-0.320226883064231,-1.19163233133638,256.5,"23-24"
"216",616,23,632,24,-0.00600000000000001,-0.222956489503239,-0.943174720558644,624,"23-24"
"217",518,23,541,24,0.027,0.407372159624456,1.58289467810926,529.5,"23-24"
"218",570,23,610,24,0.03,0.367173490651762,1.26333988804639,590,"23-24"
"219",494,23,396,24,-0.013,-0.154712171427713,-0.416332905295556,445,"23-24"
"220",638,23,494,24,0.013,0.14681599759337,0.572904911445024,566,"23-24"
"221",662,23,727,24,0.01,0.078778470670809,0.185450811006312,694.5,"23-24"
"222",371,23,503,24,0.00499999999999998,-0.121127162765457,-0.497538359181365,437,"23-24"
"223",453,23,419,24,0.001,-0.0207775599531334,-0.155070739231813,436,"23-24"
"224",619,23,693,24,-0.012,-0.315206485841099,-1.30586206484665,656,"23-24"
"225",643,23,463,24,0.004,-0.0807359362687252,-0.43326983790149,553,"23-24"
"226",439,23,631,24,0.003,0.0508518972612929,0.157553800308435,535,"23-24"
"227",641,23,635,24,-0.04,-0.258774726553298,-1.08238346393942,638,"23-24"
"228",663,23,592,24,0.00999999999999998,0.164573308224746,0.764220776239348,627.5,"23-24"
